BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201904,10,1145,201904,10,1330,134586,806567,NEW MEXICO,35,2019,April,Waterspout,Z,536,ROOSEVELT COUNTY,ABQ,4/10/2019 11:45,MST-7,4/10/2019 13:30,0,0,0,0,1.00M,0.00K,Broadcast Media,,,,,,,,,,,,,,,,,,,,,,,,
201905,18,1715,201905,31,2300,136491,819126,GEORGIA,13,2019,May,Waterspout,Z,250,NORTHERN WARE,JAX,5/18/2019 17:15,EST-5,5/31/2019 23:00,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201908,1,0,201908,8,1430,138808,834815,COLORADO,8,2019,August,Waterspout,Z,19,SOUTHWESTERN SAN JUAN MOUNTAINS,GJT,8/1/2019 0:00,MST-7,8/8/2019 14:30,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201908,1,0,201908,3,1100,139040,836307,COLORADO,8,2019,August,Waterspout,Z,19,SOUTHWESTERN SAN JUAN MOUNTAINS,GJT,8/1/2019 0:00,MST-7,8/3/2019 11:00,0,0,0,0,0.00K,0.00K,Tribal Official,,,,,,,,,,,,,,,,,,,,,,,,
201908,21,1322,201908,22,1755,139481,839029,COLORADO,8,2019,August,Waterspout,Z,1,LOWER YAMPA RIVER BASIN,GJT,8/21/2019 13:22,MST-7,8/22/2019 17:55,0,0,0,0,0.00K,0.00K,Other Federal Agency,,,,,,,,,,,,,,,,,,,,,,,,
201908,17,1632,201908,23,900,139482,839030,COLORADO,8,2019,August,Waterspout,Z,13,FLATTOP MOUNTAINS,GJT,8/17/2019 16:32,MST-7,8/23/2019 9:00,0,0,0,0,0.00K,0.00K,Other Federal Agency,,,,,,,,,,,,,,,,,,,,,,,,
201908,1,0,201908,17,1600,140262,843546,UTAH,49,2019,August,Waterspout,Z,28,LA SAL & ABAJO MOUNTAINS,GJT,8/1/2019 0:00,MST-7,8/17/2019 16:00,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201908,6,1645,201908,29,1600,140263,843547,UTAH,49,2019,August,Waterspout,Z,28,LA SAL & ABAJO MOUNTAINS,GJT,8/6/2019 16:45,MST-7,8/29/2019 16:00,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201908,1,0,201908,31,2359,143137,858656,COLORADO,8,2019,August,Waterspout,Z,9,GRAND AND BATTLEMENT MESAS,GJT,8/1/2019 0:00,MST-7,8/31/2019 23:59,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201910,10,2102,201910,24,1800,143563,861465,CALIFORNIA,6,2019,October,Waterspout,Z,54,LOS ANGELES COUNTY MOUNTAINS EXCLUDING THE SANTA MONICA RANGE,LOX,10/10/2019 21:02,PST-8,10/24/2019 18:00,8,0,0,1,0.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,,,,,,,,,,,,,
201905,22,1445,201905,29,1831,136492,819128,FLORIDA,12,2019,May,Waterspout,Z,125,COASTAL DUVAL,JAX,5/22/2019 14:45,EST-5,5/29/2019 18:31,0,0,0,0,0.00K,0.00K,Park/Forest Service,,,,,,,,,,,,,,,,,,,,,,,,
201910,10,2102,201910,24,1800,143563,861463,CALIFORNIA,6,2019,October,Waterspout,Z,547,LOS ANGELES COUNTY SAN FERNANDO VALLEY,LOX,10/10/2019 21:02,PST-8,10/24/2019 18:00,8,0,0,1,0.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,,,,,,,,,,,,,
